Filmkode; Dansk titel ; Original titel ; Nationalitet ; Filmens længde i minutter ; Genre ; Censurforhold ; premiere uge ; premiere år ; Antal solgte biografbilletter 
6876;FARLIG VIDEN (SE 5454);MUL HOLLAND FALLS;USA;108;.;Tilladt for børn over 15 år;37;1996;10164
7071;MICROCOSMOS;MICROCOSMOS;FRANKRIG;76;.;Frarådet for børn under 7 år;32;1997;10156
1372;TERROR (SE 2157);LA RUPTURE;ITALIEN;125;.;Over 15 år, ikke censureret;44;1971;10150
11201;MARSHLAND;MARSHLAND;SPANIEN;105;Spillefilm, voksne;Over 15 år, ikke censureret;31;2015;10149
5817;WEEKEND MED BERNIE;WEEKEND AT BERNIES;USA;99;.;Tilladt for børn over 11 år;52;1989;10140
2898;SNURRE SNUP OG HANS VENNER;;USA;46;.;Tilladt for alle;48;1978;10135
3917;ÅBENT HUS HOS BLONDINEN;THE BLONDE;USA;72;.;Over 15 år, ikke censureret;13;1982;10132
4221;SEXHUNGRENDE JOMFRU,DEN;OBJECT OF DESIRE;USA;80;.;Over 15 år, ikke censureret;4;1983;10129
5044;PÅ STOP MED EN DRÆBER;THE HITCHER (se 9257);USA;97;.;Over 15 år, ikke censureret;37;1986;10128
10955;MIN SØNS FAMILIE;SOSHITE CHICHI NI NARU;JAPAN;121;Spillefilm, voksne;Tilladt for alle;22;2014;10123
3994;BRØLENDE SEXHUNGER;TIGRESSES;USA;103;.;Over 15 år, ikke censureret;18;1982;10110
10941;POMPEJI;POMPEII;CANADA;104;Spillefilm, voksne;Tilladt for børn over 15 år;18;2014;10109
7531;SNEEN PÅ CEDERTRÆERNE;SNOW FALLING ON CEDARS;USA;128;.;Tilladt for børn over 11 år;9;2000;10108
5404;NU ER DET NOK;THE PRINCIPAL;USA;111;.;Over 15 år, ikke censureret;6;1988;10105
1355;TARZAN OG DEN STORE FLOD;TARZAN AND THE GREAT RIVER;USA;88;.;Tilladt for børn over 11 år;26;1968;10101
10922;SÅ MEGET GODT I VENTE;;DANMARK;95;Dokumentarfilm, voksne;Over 15 år, ikke censureret;36;2014;10098
4140;HOREHUSET I AMSTERDAM;LOVE INFERNO;TYSKLAND;86;.;Over 15 år, ikke censureret;42;1982;10097
5979;DRUGSTORE COWBOY;DRUGSTORE COWBOY;USA;101;.;Tilladt for børn over 15 år;43;1990;10097
5821;FAMILY VIEWING;FAMILY VIEWING;CANADA;85;.;Over 15 år, ikke censureret;43;1989;10096
10806;FRUITVALE STATION;FRUITVALE STATION;USA;85;Spillefilm, voksne;Tilladt for børn over 15 år;1;2014;10095
5485;CHINA GIRL (SE 1960);CHINA GIRL (SE 1960);USA;88;.;Over 15 år, ikke censureret;24;1988;10091
4952;FYRSKIBET;THE LIGHTSHIP;USA;89;.;Tilladt for børn over 15 år;8;1986;10089
6785;MIN HEMMELIGHEDS BLOMST;LA FLOR DE MI SECRETO;SPANIEN;107;.;Tilladt for børn over 11 år;7;1996;10087
2029;ALI CONTRA NORTON;;USA;366;.;Over 15 år, ikke censureret;99;1976;10085
12370;CATS;CATS;STORBRITANNIEN;110;Spillefilm, voksne;Frarådet for børn under 7 år;52;2019;10077
3850;SYNDENS VELSIGNELSE;TRUE CONFESSIONS;USA;108;.;Tilladt for børn over 11 år;52;1981;10077
3711;LÆKKER LOKKEMAD = PRIVATDETEKTIVEN OG PORNOPIGEN;;USA;77;.;Over 15 år, ikke censureret;22;1981;10076
3221;ATLANTIS - BYEN UNDER HAVET;WARLORDS OF ATLANTIS;STORBRITANNIEN;97;.;Tilladt for børn over 11 år;41;1979;10065
7088;IN LOVE AND WAR;IN LOVE AND WAR;USA;114;.;Tilladt for børn over 11 år;30;1997;10058
522;DON OLSEN KOMMER TIL BYEN;;DANMARK;95;.;Tilladt for alle;51;1964;10057
3478;SEX FOR SKILLINGEN;BAD PENNY;USA;81;.;Over 15 år, ikke censureret;27;1980;10056
5146;FARS FRYGTELIGE FERIEDAGE;NATIONAL LAMPOON'S EUROPEAN VACATION;USA;94;.;Tilladt for alle;41;1986;10054
8637;CURSED;CURSED;USA;96;Spillefilm, børn/unge/familie;Over 15 år, ikke censureret;18;2005;10053
6585;WIDOWS PEAK;WIDOWS PEAK;STORBRITANNIEN;102;.;Frarådet for børn under 7 år;45;1994;10052
4127;FORBUDTE LYSTER;TABOO;USA;86;.;Over 15 år, ikke censureret;41;1982;10039
8564;UNGE ANDERSEN;;DANMARK;120;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;10;2005;10037
12594;CANDYMAN (2021);CANDYMAN (2021);USA;91;Spillefilm, voksne;Tilladt for børn over 15 år;34;2021;10036
7676;SUNSHINE (SE 9271);SUNSHINE (SE 9271);ØSTRIG;179;.;Over 15 år, ikke censureret;50;2000;10032
2431;FLÅDENS SKRÆK;THE BULLDOG BREED;STORBRITANNIEN;96;.;Tilladt for alle;31;1961;10026
8779;JUST LIKE HEAVEN;JUST LIKE HEAVEN;USA;95;Spillefilm, voksne;Frarådet for børn under 7 år;49;2005;10024
4808;UNG MODEL I FRÆKT UNDERTØJ;GLITTER;USA;84;.;Over 15 år, ikke censureret;34;1985;10021
5847;VALMONT;VALMONT;FRANKRIG;133;.;Frarådet for børn under 7 år;7;1990;10018
12565;BLACK WIDOW;BLACK WIDOW (2021);USA;133;Spillefilm, voksne;Tilladt for børn over 11 år;27;2021;10018
12177;INSTANT FAMILY - NÅR 2 BLIVER TIL 5;INSTANT FAMILY;USA;118;Spillefilm, voksne;Tilladt for børn over 11 år;9;2019;9994
4972;MAGT OG ÆRE;OBERTS REDL;JUGOSLAVIEN;142;.;Tilladt for børn over 11 år;10;1986;9993
12855;Ferskenlunden i Catalonien;ALCARRÁS;SPANIEN;120;Spillefilm, voksne;Frarådet for børn under 7 år;45;2022;9991
3736;VANDRINGSMANDEN;STALKER;SOVJETUNIONEN;160;.;Over 15 år, ikke censureret;35;1981;9980
5348;JIM OG PIRATERNE;JIM & PIRATERNA BLOM;SVERIGE;93;.;Tilladt for alle;51;1987;9979
8872;HOSTEL;HOSTEL;USA;96;Spillefilm, voksne;Over 15 år, ikke censureret;17;2006;9977
3656;MIN MAND KOMMER HJEM KL. 6;;FRANKRIG;73;.;Over 15 år, ikke censureret;7;1981;9969
11431;THE BOY;THE BOY;USA;97;Spillefilm, voksne;Over 15 år, ikke censureret;18;2016;9960
12421;BRAHMS: THE BOY 2;BRAHMS: THE BOY 2;USA;86;Spillefilm, voksne;Tilladt for børn over 15 år;25;2020;9939
6474;GERMINAL;GERMINAL;FRANKRIG;159;.;Over 15 år, ikke censureret;9;1994;9921
1392;TOGRØVERNE;THE TRAIN ROBBERS;USA;96;.;Tilladt for børn over 11 år;16;1973;9920
2532;WINTERHAWK;WINTERHAWK;USA;88;.;Tilladt for børn over 11 år;41;1977;9919
8248;DOWN WITH LOVE;DOWN WITH LOVE;USA;102;.;Tilladt for alle;44;2003;9906
2886;NU FALDER HAMMEREN GUTTER;SAHARA CROSS;ITALIEN;96;.;Over 15 år, ikke censureret;45;1978;9898
4618;NOSTALGHIA;NOSTALGHIA;ITALIEN;126;.;Over 15 år, ikke censureret;33;1984;9896
7867;KAPTAJN CORELLIS MANDOLIN;CAPTAIN CORELLI'S MANDOLIN;USA;129;.;Tilladt for børn over 15 år;45;2001;9889
6612;A BRONX TALE - GANGSTERNES LÆRLING;A BRONX TALE;USA;122;.;Over 15 år, ikke censureret;51;1994;9887
4138;VERONIKA VOSS' LÆNGSEL;DIE SEHNSUCHT DER VERONIKA VOSS;TYSKLAND;104;.;Tilladt for børn over 11 år;39;1982;9886
3821;DRÆBEREN FRA INTERPOL;THE ONE-ARMED EXECUTIONER;ASIEN UOPLYST;89;.;Over 15 år, ikke censureret;45;1981;9885
2676;BIG JAKE;BIG JAKE;USA;110;.;Tilladt for børn over 15 år;47;1971;9880
2609;GUDERNES FØDE;THE FOOD OF THE GODS;USA;88;.;Over 15 år, ikke censureret;8;1978;9879
8801;ME AND YOU AND EVERYONE WE KNOW;ME AND YOU AND EVERYONE WE KNOW;USA;91;Spillefilm, voksne;Frarådet for børn under 7 år;7;2006;9874
7090;BJERGENES FANGE;KAVKAZSKI PLENNIK;RUSLAND;99;.;Tilladt for børn over 11 år;32;1997;9872
2131;MED ÅBEN KIMONO OG DE SEXGLADES KRO;;USA;71;.;Over 15 år, ikke censureret;5;1977;9872
6826;CLERKS;CLERKS;USA;92;.;Tilladt for børn over 11 år;25;1996;9863
12450;THE FAREWELL;THE FAREWELL;USA;100;Spillefilm, voksne;Tilladt for alle;34;2020;9859
5996;FORD FAIRLANE - ROCK'N'ROLL DETEKTIV;THE ADVENTURES OF FORD FAIRLANE;USA;102;.;Tilladt for børn over 15 år;46;1990;9855
4165;I ORGASMENS VOLD;EXPOSE ME NOW;USA;79;.;Over 15 år, ikke censureret;49;1982;9842
10528;BACHELORETTE;BACHELORETTE;USA;87;Spillefilm, voksne;Tilladt for alle;37;2012;9831
7411;LOLA (SE 3837);LOLA RENNT;TYSKLAND;81;.;Over 15 år, ikke censureret;22;1999;9830
5937;CADILLAC MAN;CADILLAC MAN;USA;97;.;Frarådet for børn under 7 år;33;1990;9830
5467;ET DØGN MED JIMMY REARDON;A NIGHT IN THE LIFE OF JIMMY REARDON;USA;93;.;Tilladt for børn over 11 år;24;1988;9826
5392;PIGEN OG PANSEREN;RENT-A-COP;USA;96;.;Tilladt for børn over 15 år;11;1988;9824
5021;F/X - FARLIGE TRIX;F/X - MURDER BY ILLUSION;USA;108;.;Over 15 år, ikke censureret;35;1986;9821
11445;SLANGENS FAVNTAG;EL ABRAZO DE LA SERPIENTE;COLOMBIA;125;Spillefilm, voksne;Tilladt for børn over 15 år;20;2016;9814
12172;PJUSKE FLYVER FRA REDEN;LÓI - THÜ FLYGUR ALDREI EINN;ISLAND;83;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;9;2019;9813
4220;EKSPERT I SEX;HOT LINE;USA;80;.;Over 15 år, ikke censureret;11;1983;9812
3901;FLYAKTION SKY-HIGH;HIGH ICE;USA;96;.;Tilladt for børn over 11 år;4;1982;9803
10162;DET GODE LIV;;DANMARK;90;Dokumentarfilm, voksne;Over 15 år, ikke censureret;5;2011;9799
3759;MIN STANGLIDERLIGE VENINDE;LURE OF THE TRIANGLE;USA;75;.;Over 15 år, ikke censureret;35;1981;9797
10218;INSIDIOUS;INSIDIOUS;USA;103;Spillefilm, voksne;Tilladt for børn over 15 år;23;2011;9796
3673;VILJEN TIL SEJR;CHARIOTS OF FIRE;STORBRITANNIEN;123;.;Tilladt for alle;26;1981;9792
5529;BLUE JEAN COP;BLUE JEAN COP;USA;96;.;Tilladt for børn over 15 år;35;1988;9785
7386;54;54;USA;93;.;Over 15 år, ikke censureret;16;1999;9784
7853;EVIL WOMAN;SAVING SILBERMAN;USA;97;.;Tilladt for børn over 11 år;48;2001;9782
6397;ARMY OF DARKNESS;ARMY OF DARKNESS;USA;89;.;Over 15 år, ikke censureret;27;1993;9777
6708;BLUE SKY;BLUE SKY;USA;102;.;Tilladt for børn over 11 år;27;1995;9760
1631;CLEOPATRA;CLEOPATRA;USA;193;.;Tilladt for børn over 11 år;18;1964;9757
4833;AV MIN ARV;BREWSTERS MILLIONS;USA;102;.;Tilladt for alle;39;1985;9754
7304;SANDHEDENS TIME (SE 4509);TWILIGHT (SE 9688);USA;95;.;Tilladt for børn over 11 år;41;1998;9745
8509;ANACONDAS: JAGTEN PÅ BLOD ORKIDEN;ANACONDAS: THE HUNT FOR THE BLOOD ORCHID;USA;101;Spillefilm, voksne;Over 15 år, ikke censureret;45;2004;9736
9612;SPACE CHIMPS;SPACE CHIMPS;USA;81;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;32;2008;9735
4429;BANGKOK PORNO;LA PORNOGRAPHIE THAILANDAISE;EUROPA UOPLYST;80;.;Over 15 år, ikke censureret;13;1984;9715
2823;TYSKLAND I EFTERÅRET;DEUTSCHLAND IM HERBST;TYSKLAND;125;.;Tilladt for børn over 11 år;36;1978;9714
11322;IN THE HEART OF THE SEA;IN THE HEART OF THE SEA;USA;122;Spillefilm, voksne;Tilladt for børn over 11 år;50;2015;9714
3580;GRÆSENKEMANDENS LIDERLIGE OPLEVELSER;LA PETITE ETRANGERE;FRANKRIG;366;.;Over 15 år, ikke censureret;5;1981;9712
4235;GYLDNE DRAGE, DEN;THE YOUNG MASTER;ASIEN UOPLYST;96;.;Over 15 år, ikke censureret;25;1983;9710
34;LIDERLIGE SYGEPLEJERSKER;THE NURSES;USA;73;.;Over 15 år, ikke censureret;6;1975;9707
540;DUELLEN (SE 2667);DUEL;USA;91;.;Tilladt for børn over 11 år;17;1973;9700
9982;BROOKLYN'S FINEST;BROOKLYN'S FINEST;USA;133;Spillefilm, voksne;Tilladt for børn over 15 år;21;2010;9693
11893;VÆBNET MED ORD & VINGER;;DANMARK;105;Dokumentarfilm, voksne;Tilladt for børn over 11 år;2;2018;9690
79;DETROIT 9000;DETROIT 9000;USA;104;.;Over 15 år, ikke censureret;24;1975;9688
11428;MÅNEN OVER KIRSEBÆRTRÆERENE;AN;JAPAN;113;Spillefilm, voksne;Frarådet for børn under 7 år;17;2016;9687
3411;SEX PARTY I PORNOHUSET;LES DEFONCEUSES;FRANKRIG;78;.;Over 15 år, ikke censureret;30;1980;9682
6431;DET BLIR I FAMILIEN (SE 5860);;DANMARK;99;.;Frarådet for børn under 7 år;46;1993;9672
5643;GIFT MED MAFIAEN;MARRIED TO THE MOB;USA;104;.;Tilladt for børn over 15 år;10;1989;9657
2778;BLODTØRSTIGE, DE;THE PACK;USA;98;.;Over 15 år, ikke censureret;31;1978;9656
10973;THE HOMESMAN;THE HOMESMAN;FRANKRIG;122;Spillefilm, voksne;Tilladt for børn over 15 år;49;2014;9653
8967;YOU ME AND DUPREE;YOU ME AND DUPREE;USA;109;Spillefilm, voksne;Tilladt for alle;36;2006;9649
8283;THIRTEEN;THIRTEEN;USA;100;.;Tilladt for børn over 11 år;46;2003;9649
1598;STEWARDESSER VED PINDEN;COME FLY WITH US;USA;88;.;Over 15 år, ikke censureret;24;1976;9646
6428;VILDE NÆTTER;LES NUITS FAUVES;FRANKRIG;125;.;Over 15 år, ikke censureret;31;1993;9640
11659;PATRIOTS DAY;PATRIOTS DAY;USA;133;Spillefilm, voksne;Tilladt for børn over 15 år;11;2017;9636
166;MISS AGGIE'S SYNDIGE LASTER;MEMORIES WITHIN MISS AGGIE;USA;73;.;Over 15 år, ikke censureret;28;1975;9635
751;HVORFOR GØR DE DET;;DANMARK;105;.;Over 15 år, ikke censureret;5;1971;9630
12754;Miss Viborg;MISS VIBORG;DANMARK;99;Spillefilm, voksne;Tilladt for børn over 11 år;14;2022;9629
3162;TA' OS BARE;L'AMOUR DIFFICELE;FRANKRIG;88;.;Over 15 år, ikke censureret;29;1979;9627
4322;TYVE OG RØVERE;CANE E GATTO;ITALIEN;100;.;Frarådet for børn under 7 år;35;1983;9625
5890;ÆRENS MARK;GLORY;USA;122;.;Over 15 år, ikke censureret;18;1990;9614
2208;PÅ'EN IGEN CAMPISTER;CARRY ON CAMPING;STORBRITANNIEN;88;.;Over 15 år, ikke censureret;25;1970;9610
4048;ATLANTIC CITY;ATLANTIC CITY;CANADA;104;.;Tilladt for børn over 15 år;33;1982;9603
11518;KÆRLIGHED OG ANDRE KATASTROFER;;DANMARK;102;Spillefilm, voksne;Tilladt for børn over 15 år;35;2016;9593
1681;HVEM ER BANGE FOR VIRGINIA WOOLF;WHO'S AFRAID OF VIRGINIA WOOLF;USA;132;.;Tilladt for børn over 15 år;44;1966;9593
4696;GRÆSENKER;SWING SHIFT;USA;100;.;Tilladt for alle;46;1984;9591
1833;MASTER GUNFIGHTER;THE MASTER GUNFIGHTER;USA;110;.;Over 15 år, ikke censureret;34;1976;9580
10442;SMÅ HVIDE LØGNE;LES PETITS MOUCHOIRS;FRANKRIG;149;Spillefilm, voksne;Tilladt for børn over 11 år;20;2012;9560
12585;SUPERNOVA (2021);SUPERNOVA (2021);STORBRITANNIEN;94;Spillefilm, voksne;Frarådet for børn under 7 år;32;2021;9559
5049;GØR DET IGEN;GO FOR IT;USA;86;.;Over 15 år, ikke censureret;37;1986;9559
3527;SKJULTE FÆSTNING, DEN;KAKUSHI-TORIDE NO SAN-AKUNIN;ASIEN UOPLYST;127;.;Frarådet for børn under 7 år;4;1960;9556
6174;SOAPDISH;SOAPDISH;USA;97;.;Frarådet for børn under 7 år;7;1992;9554
1222;SIDSTE FRIST;DEADLINE U S A;USA;87;.;Tilladt for børn over 11 år;51;1952;9552
12131;BURNING;BEONING;SYDKOREA;148;Spillefilm, voksne;Tilladt for børn over 15 år;51;2018;9547
815;JUNGLEDRENGEN;TAFFY AND THE JUNGLE HUNTER;USA;87;.;Tilladt for alle;42;1970;9538
6374;USTYRLIGE HJERTER;UNTAMED HEART;USA;103;.;Over 15 år, ikke censureret;24;1993;9538
4646;SPLASH;SPLASH;USA;110;.;Tilladt for alle;39;1984;9536
399;BATMAN (SE 5782);BATMAN (SE 5782);USA;106;.;Tilladt for alle;14;1967;9534
10329;OSLO 31. AUGUST;OSLO 31. AUGUST;NORGE;96;Spillefilm, voksne;Tilladt for børn over 11 år;43;2011;9532
819;ALI BABA OG DE 40 RØVERE;ALI BABA AND THE FORTY THIEVES;USA;87;.;Tilladt for alle;45;1946;9526
6165;HVA' MED BOB?;WHAT ABOUT BOB?;USA;99;.;Frarådet for børn under 7 år;45;1991;9520
3832;FRÆKKE CHAMPAGNE KNALD,DET;CHAMPAGNE FOR BREAKFAST;USA;102;.;Over 15 år, ikke censureret;43;1981;9519
4034;SPREDTE BEN OMBORD;SEX BOAT;USA;81;.;Over 15 år, ikke censureret;31;1982;9516
8864;PRINCESS;PRINCESS;DANMARK;82;Spillefilm, voksne;Tilladt for børn over 15 år;24;2006;9514
2741;BYENS STØRSTE KNALD;FEMME DE SADE;USA;87;.;Over 15 år, ikke censureret;25;1978;9511
3669;IH DU STORE KINESER;THE FIENDISH PLOT OF DR.FU MANCHU;USA;106;.;Tilladt for alle;15;1981;9507
4874;JAGTSELSKABET;THE SHOOTING PARTY;STORBRITANNIEN;97;.;Tilladt for børn over 11 år;51;1985;9504
11902;I. TONYA;I. TONYA;USA;119;Spillefilm, voksne;Tilladt for børn over 11 år;4;2018;9501
12750;UDVANDRERNE;UTVANDRARNA;SVERIGE;148;Spillefilm, voksne;Tilladt for børn over 11 år;32;2022;9493
3847;OPGØR VED DAGGRY;ZULU DAWN;USA;99;.;Over 15 år, ikke censureret;49;1981;9491
839;KARATEBANDEN;KING BOXER;ASIEN UOPLYST;366;.;Over 15 år, ikke censureret;18;1973;9489
6898;FORFØRENDE SKØNHED;STEALING BEAUTY;ITALIEN;119;.;Tilladt for børn over 11 år;37;1996;9488
2720;LADY CHATTERLEY'S DATTER;YOUNG LADY CHATTERLEY;STORBRITANNIEN;92;.;Over 15 år, ikke censureret;17;1978;9485
5587;SIESTA - EN EROTISK REJSE;SIESTA;USA;97;.;Over 15 år, ikke censureret;46;1988;9485
7669;TITAN A.E.;TITAN A.E.;USA;95;.;Frarådet for børn under 7 år;40;2000;9478
10692;BROKEN CITY;BROKEN CITY;USA;109;Spillefilm, voksne;Tilladt for børn over 11 år;19;2013;9478
7870;UNIVERSETS ENGLE;ENGLAR ALHEIMSINS;ISLAND;101;.;Over 15 år, ikke censureret;48;2001;9476
4450;AMSTERDAM BORDELLET;HOT PURSUIT (SE 5424);USA;94;.;Over 15 år, ikke censureret;8;1984;9475
10923;EKSTRA BLADET UDEN FOR CITAT;;DANMARK;95;Dokumentarfilm, voksne;Over 15 år, ikke censureret;40;2014;9468
530;DRONNINGENS VAGTMESTER;;DANMARK;101;.;Tilladt for alle;13;1963;9467
5312;PERSONAL SERVICES - SMÆK FOR SKILLINGEN;PERSONAL SERVICES;STORBRITANNIEN;100;.;Over 15 år, ikke censureret;38;1987;9453
4135;INTIME FOTOMODELLER;INDECENT EXPOSURES;USA;97;.;Over 15 år, ikke censureret;40;1982;9453
2515;SEX CHOCK;SHOCKING;FRANKRIG;102;.;Over 15 år, ikke censureret;42;1977;9446
7931;PIANISTEN (SE 8193);LA PIANISTE;FRANKRIG;130;.;Tilladt for børn over 15 år;18;2002;9439
11274;THE WALK;THE WALK;USA;123;Spillefilm, voksne;Frarådet for børn under 7 år;40;2015;9437
3132;SEX - DETEKTIVEN;EXPOSE ME LOVELY;USA;77;.;Over 15 år, ikke censureret;38;1979;9434
4476;SOMMERSEX I ST.TROPEZ;DIE MÆDCHEN VON ST.TROPEZ;TYSKLAND;86;.;Over 15 år, ikke censureret;24;1984;9430
185;TOSSET MED SEX;SEX FREAKS;USA;79;.;Over 15 år, ikke censureret;37;1975;9429
12115;PEDDERSEN OG FINDUS - FINDUS FLYTTER HJEMMEFRA;PETTERSON UND FINDUS - FINDUS ZIEHT UM;TYSKLAND;82;Spillefilm, børn/unge/familie;Tilladt for alle;48;2018;9427
11742;IT COMES AT NIGHT;IT COMES AT NIGHT;USA;92;Spillefilm, voksne;Over 15 år, ikke censureret;24;2017;9427
105;NØGEN KOM EN FREMMED   OGSÅ: BESAT AF SEX;NAKED CAME THE STRANGER;USA;89;.;Over 15 år, ikke censureret;24;1975;9426
3828;SEX OLYMPIADEN;OLYMPIC FEVER;USA;83;.;Over 15 år, ikke censureret;41;1981;9420
11159;WILD;WILD;USA;116;Spillefilm, voksne;Tilladt for børn over 15 år;11;2015;9417
6768;STREETS OF NEW YORK;THE BASKERBALL DIARIES;USA;102;.;Over 15 år, ikke censureret;1;1996;9412
6367;BARAKA;BARAKA;USA;95;.;Frarådet for børn under 7 år;22;1993;9412
534;DRØMMEN OM DET HVIDE SLOT;;DANMARK;107;.;Tilladt for børn over 11 år;52;1962;9411
10630;HITCHCOCK;HITCHCOCK;USA;99;Spillefilm, voksne;Tilladt for børn over 11 år;8;2013;9411
8802;DONT COME KNOCKING;DONT COME KNOCKING;TYSKLAND;122;Spillefilm, voksne;Tilladt for alle;1;2006;9406
7598;KAMPEN OM JORDEN;BATTLEFIELD EARTH;USA;115;.;Over 15 år, ikke censureret;22;2000;9405
12225;UGLY DOLLS;UGLY DOLLS;USA;87;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;19;2019;9405
5897;LØST KRUDT;LOOSE CANNONS;USA;94;.;Tilladt for børn over 15 år;16;1990;9390
11233;TAVSHEDENS LABYRINT;IM LABYRINTH DES SCHWEIGENS;TYSKLAND;123;Spillefilm, voksne;Tilladt for børn over 15 år;36;2015;9387
7086;CARLA'S SONG;CARLA'S SONG;STORBRITANNIEN;127;.;Tilladt for børn over 15 år;30;1997;9384
7109;BASQUIAT;BASGUIAT;USA;107;.;Tilladt for børn over 11 år;44;1997;9377
11047;THE PURGE: ANARKI;THE PURGE: ANARCHY;USA;103;Spillefilm, voksne;Tilladt for børn over 15 år;38;2014;9376
3620;PIGE I PANT;LITTLE MISS MARKER;USA;103;.;Tilladt for alle;9;1981;9373
8991;LITTLE MISS SUNSHINE;LITTLE MISS SUNSHINE;USA;103;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;46;2006;9371
4060;DRÆBENDE SVÆRD;THE CHALLENGE;USA;112;.;Over 15 år, ikke censureret;34;1982;9367
7968;STORYTELLING;STORYTELLING;USA;88;.;Tilladt for børn over 11 år;19;2002;9362
8372;TORQUE - HÆVN PÅ TO HJUL;TORQUE;USA;84;Spillefilm, voksne;Tilladt for børn over 11 år;12;2004;9359
4391;MED STRØMERNE I HÆLENE;EDDIE MACON'S RUN;USA;95;.;Tilladt for børn over 15 år;47;1983;9357
12530;NOBODY;NOBODY;USA;92;Spillefilm, voksne;Tilladt for børn over 15 år;20;2021;9354
10974;BOGTYVEN;THE BOOK THIEF;USA;131;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;14;2014;9354
11499;HERMELINEN;L'HERMINE;FRANKRIG;98;Spillefilm, voksne;Tilladt for alle;31;2016;9353
9831;MY BLOODY VALENTINE;MY BLOODY VALENTINE;USA;101;Spillefilm, voksne;Over 15 år, ikke censureret;34;2009;9353
1303;STORE GATSBY, DEN (SE 10680);THE GREAT GATSBY (SE 10680);USA;141;.;Tilladt for børn over 11 år;41;1974;9352
3552;KOMMANDO DJÆVLE;BATTLE OF THE COMMANDOES;EUROPA UOPLYST;94;.;Over 15 år, ikke censureret;48;1980;9345
10000;MIN BEDSTE FJENDE;;DANMARK;93;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;22;2010;9335
10805;GLORIA (SE 3637);GLORIA (SE 3637);CHILE;109;Spillefilm, voksne;Tilladt for alle;50;2013;9324
11471;DEN LILLE GRÅ TRAKTOR FERGIE;GRÅTASS - GØY PÅ LANDET;NORGE;78;Spillefilm, børn/unge/familie;Tilladt for alle;25;2016;9324
244;SKAKMAT;NIGHT MOVES (SE 10878);USA;100;.;Over 15 år, ikke censureret;42;1975;9323
3888;TAXI ZUM KLO;TAXI ZUM KLO;TYSKLAND;92;.;Over 15 år, ikke censureret;8;1982;9321
2220;SUPERTYRS HEMMELIGHED, EN;SECRETS OF A SUPER STUD;STORBRITANNIEN;88;.;Over 15 år, ikke censureret;11;1977;9318
6281;ILDKAMP;RAPID FIRE;USA;95;.;Over 15 år, ikke censureret;52;1992;9309
3245;GIGANT EDDERKOP INVASION;THE GIANT SPIDER INVASION;USA;81;.;Over 15 år, ikke censureret;47;1979;9308
5196;JEG ELSKER DIG (SE 2615,3254);;DANMARK;89;.;Frarådet for børn under 7 år;5;1987;9302
5092;OTTE MILLIONER MÅDER AT DØ PÅ;8 MILLION WAYS TO DIE;USA;115;.;Over 15 år, ikke censureret;38;1986;9294
12357;EN HVID HVID DAG;HVITUR HVITUR DAGUR;ISLAND;109;Spillefilm, voksne;Tilladt for børn over 15 år;49;2019;9291
6128;LIFE IS SWEET;LIFE IS SWEET;STORBRITANNIEN;102;.;Over 15 år, ikke censureret;37;1991;9290
1035;MUNTRE SEXLEGE;LIEBESSCHULE BLUTJUNGER MÆDCHEN;TYSKLAND;366;.;Over 15 år, ikke censureret;36;1973;9289
4121;MAND SER SORT,EN;SOME KIND OF A HERO;USA;97;.;Tilladt for børn over 11 år;47;1982;9289
6262;HENRY: PORTRAIT OF A SERIAL KILLER;HENRY: PORTRAIT OF A SERIAL KILLER;USA;90;.;Over 15 år, ikke censureret;28;1992;9288
3511;STÆRKE VILJER;BREAKER MORANT;AUSTRALIEN;107;.;Over 15 år, ikke censureret;51;1980;9282
4849;FLYVENDE DJÆVLE, DE;;DANMARK;115;.;Tilladt for børn over 11 år;33;1985;9281
11199;CITIZENFOUR;CITIZENFOUR;USA;114;Dokumentarfilm, voksne;Over 15 år, ikke censureret;47;2014;9277
5654;NICKY & GINO;DOMINICK AND EUGENE;USA;109;.;Tilladt for børn over 11 år;5;1989;9265
6098;HJÆLP, JEG ER EN KVINDE;SWITCH;USA;103;.;Tilladt for børn over 11 år;33;1991;9262
8123;PUNCH-DRUNK LOVE;PUNCH-DRUNK LOVE;USA;95;.;Tilladt for børn over 11 år;10;2003;9261
5363;NADINE - EN SKUDSIKKER AFFÆRE;NADINE;USA;83;.;Tilladt for børn over 11 år;45;1987;9259
5048;FLYVÆRTINDERNE TA'R SKRIDTET;UP UP AND AWAY;USA;85;.;Over 15 år, ikke censureret;31;1986;9254
11710;YOUR NAME;KIMI NO NA WA;JAPAN;106;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;18;2017;9253
4073;FODBOLDENKERNES LIDERLIGE SPIL;LADIES NIGHT;USA;74;.;Over 15 år, ikke censureret;36;1982;9246
832;KAMPEN OM ABERNES PLANET;BATTLE FOR THE PLANET OF THE APES;USA;86;.;Tilladt for børn over 11 år;8;1974;9246
