Filmkode; Dansk titel ; Original titel ; Nationalitet ; Filmens længde i minutter ; Genre ; Censurforhold ; premiere uge ; premiere år ; Antal solgte biografbilletter 
7532;SLEEPY HOLLOW;SLEEPY HOLLOW;USA;106;.;Tilladt for børn over 15 år;11;2000;70492
8471;THE VILLAGE;THE VILLAGE;USA;108;Spillefilm, voksne;Tilladt for børn over 15 år;39;2004;70483
7214;U.S. MARSHALS;U.S. MARSHALS;USA;129;.;Over 15 år, ikke censureret;19;1998;70430
5838;SEX, LØGN OG VIDEO;SEX,LIES AND VIDEO;USA;100;.;Frarådet for børn under 7 år;52;1989;70363
2884;METROPOLS JULESHOW 1978 (STJERNEPARADEN);;USA;48;.;Tilladt for alle;46;1978;70296
1273;SOLDATERKAMMERATER PÅ SJOV;;DANMARK;98;.;Tilladt for alle;40;1962;70259
10387;PIRATERNE 3D;THE PIRATES BAND OF MISFITS;STORBRITANNIEN;91;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;13;2012;70206
12149;SKAMMERENS DATTER II - SLANGENS GAVE;;DANMARK;103;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;4;2019;70200
4189;FANNY OG ALEXANDER;FANNY OCH ALEXANDER;SVERIGE;189;.;Tilladt for børn over 11 år;3;1983;70197
3809;ØRKENKRIGENS HELTE;LION OF THE DESERT;USA;163;.;Tilladt for børn over 11 år;52;1981;70134
4124;DRENGESTREGER EFTER SKOLETID;PRIVATE LESSONS;USA;88;.;Tilladt for alle;49;1982;70090
10800;THE SECRET LIFE OF WALTER MITTY;THE SECRET LIFE OF WALTER MITTY;USA;115;Spillefilm, voksne;Tilladt for børn over 11 år;52;2013;70082
6028;LIVET LÆNGE LEVE;AWAKENINGS;USA;121;.;Frarådet for børn under 7 år;13;1991;70080
1287;SOUTH PACIFIC;SOUTH PACIFIC;USA;151;.;Tilladt for alle;43;1958;70040
8036;HUMØRKORTSTATIVSÆLGERENS SØN;;DANMARK;85;.;Tilladt for alle;26;2002;69999
719;HERBIE I HØJESTE GEAR;HERBIE RIDES AGAIN;USA;89;.;Tilladt for alle;41;1974;69992
11985;BREATHE;BREATHE;STORBRITANNIEN;117;Spillefilm, voksne;Tilladt for børn over 11 år;22;2018;69988
11643;LION;LION;AUSTRALIEN;119;Spillefilm, voksne;Tilladt for børn over 11 år;6;2017;69893
8122;DAREDEVIL;DAREDEVIL;USA;104;.;Tilladt for børn over 11 år;13;2003;69845
7670;DYKKERNE;;DANMARK;94;.;Tilladt for børn over 11 år;41;2000;69836
7112;THE GAME;THE GAME;USA;129;.;Tilladt for børn over 11 år;52;1997;69709
5789;DEN RØDE TRÅD;;DANMARK;79;.;Tilladt for alle;41;1989;69617
11002;ANNABELLE;ANNABELLE;USA;99;Spillefilm, voksne;Tilladt for børn over 15 år;42;2014;69595
10580;OPERATION ARGO;ARGO;USA;120;Spillefilm, voksne;Tilladt for børn over 15 år;45;2012;69535
8176;STORBYENS SMÅ MIRAKLER;MAID IN MANHATTAN;USA;106;.;Tilladt for alle;17;2003;69451
11722;ALT ELLER INTET;EVERYTHING, EVERYTHING;USA;97;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;21;2017;69446
3269;FLAMMER OVER CARIBIEN;FIREPOWER;STORBRITANNIEN;104;.;Tilladt for børn over 11 år;11;1980;69435
4250;VARME PIGER OG FRÆKKE DRENGE;GOIN' ALL THE WAY;USA;86;.;Tilladt for alle;16;1983;69365
8155;ZAFIR;;DANMARK;75;.;Frarådet for børn under 7 år;26;2003;69323
10567;HOTEL TRANSYLVANIA;HOTEL TRANSYLVANIA;USA;91;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;45;2012;69308
7525;MAGNOLIA;MAGNOLIA;USA;188;.;Over 15 år, ikke censureret;12;2000;69151
10792;JUL I BAKKEKØBING;SOLAN OG LUDVIG: JUL I FLÅKLYPA;NORGE;76;Spillefilm, børn/unge/familie;Tilladt for alle;48;2013;69146
1485;ZORBA - GRÆKEREN;ZORBA THE GREEK;USA;143;.;Tilladt for børn over 11 år;40;1965;69122
4920;FALSK SOM VAND;FALSK SOM VATTEN;SVERIGE;103;.;Over 15 år, ikke censureret;51;1985;69095
7826;HUND OG KAT IMELLEM;CATS & DOGS;USA;88;.;Frarådet for børn under 7 år;34;2001;69067
3155;VAGABONDERNE PÅ BAKKEGÅRDEN;;DANMARK;105;.;Tilladt for alle;51;1958;68964
1093;PANSERSLAGET VED ARDENNERNE;BATTLE OF THE BULGE;USA;149;.;Tilladt for børn over 11 år;34;1966;68784
7626;VEJEN TIL EL DORADO;THE ROAD TO EL DORADO;USA;90;.;Tilladt for alle;35;2000;68735
8834;NANNY MCPHEE - DEN FORTRYLLENDE BARNEPIGE;NANNY MCPHEE;STORBRITANNIEN;99;Spillefilm, børn/unge/familie;Tilladt for alle;4;2006;68720
9697;HAN ER BARE IKKE VILD MED DIG;HE'S JUST NOT THAT INTO YOU;USA;129;Spillefilm, voksne;Tilladt for alle;6;2009;68654
12015;ANT-MAN AND THE WASP;ANT-MAN AND THE WASP;USA;117;Spillefilm, voksne;Tilladt for børn over 11 år;27;2018;68652
971;MAFIAEN - DET ER OGSÅ MIG;;DANMARK;96;.;Tilladt for alle;39;1974;68625
9763;PUBLIC ENEMIES;PUBLIC ENEMIES;USA;140;Spillefilm, voksne;Tilladt for børn over 15 år;27;2009;68584
493;DIRCH PASSER BUSSEN   OGSÅ: BUSSEN;;DANMARK;94;.;Tilladt for alle;40;1963;68573
